KO.PLT_PBMC_Vehicle_REP1	KO.PLT_PBMC_Vehicle_REP2	KO.PLT_PBMC_Vehicle_REP3	KO.PLT_PBMC_Vehicle_REP4	WT.PLT_PBMC_Vehicle_REP1	WT.PLT_PBMC_Vehicle_REP2	WT.PLT_PBMC_Vehicle_REP3	WT.PLT_PBMC_Vehicle_REP4
Lpar3	118	28	7	12	47	99	51	76
Pnpla7	5546.003	2346.999	452	2112	1261	2063.001	2125.001	4527.998
Psenen	6781.494	3192.749	629.753	2646.806	2707.253	2875.637	2673.051	5079.359
Siah1a	129.973	51	9	35.604	41.423	45.337	33.602	84.26
Lin37	2085.998	981.999	176.993	842	861.998	775.983	741.996	1318.987
Mrpl41	1663	733	132	520	552.98	666	637	1280
Mrpl55	1010.001	425	89	371	461	476.998	483	757
Proser3	145.001	31	15	87.001	38	62	68	123
Smad6	85	38	9	52	23	29	34	87
2410004B18Rik	1361	615	81	349	569	593	454	1174.999
Dna2	3875.001	1538.999	293	1773	1203.999	1378.999	1464	2935
Phkb	764	430.999	87	258	286	424	256.999	770
Acaa2	1753	772	153	567	568	802	823	1393
Gtdc1	320	118.589	33.011	82.007	146.856	169.388	95.551	258.634
Ehmt1	2866.999	984	180.999	835.002	491	1072	780	1276
Rap2b	9700.659	5622.539	920.218	5618.6	5058.893	3247.123	3552.43	8726.346
C1qc	97	16	10	28	75	74	75	94
Zfp157	131	137	22	80.765	38	141.585	121.781	115
C1qb	72	16	27	19	16	103	109	136
Unc93b1	46558.999	17695	3316.999	15938	11943.999	19949.999	16695.001	34228
Zfp280c	358.999	90	19	80	143.999	143.999	101	230
Ttc7	11377	3800	784.001	4849.995	1451.992	4991.969	3811.985	9332.832
Stag3	77	3	12	20	9	25	16	43.129
Nfkbid	2431.001	1102.001	171	1011.001	472.999	1021	858	1778
Aifm1	2299	1111.001	170	971	1037	810	732	1757
4921524J17Rik	992.801	387.756	79.851	377	424.776	370.865	434.983	854.987
Kdm1a	317.001	107	18.999	139	113.001	103	118.001	135.04
Elac1	641	266	54	242	156	318	361	569
Rab8b	26805.926	11603.08	2112.99	8420	10792.764	8688.83	8831.792	21081.645
Tmem71	531	170	48	79	236	153	111	297
Map11	365.001	218	28	309	172	97.999	112.999	314.999
Kifbp	793.876	327.697	97	345.977	356.906	472	394.53	860.727
Bcorl1	174.001	96	14	160	42	124	54	224
Spryd3	3160.001	1311	220	1436	623	1155	1193	2279
Cnpy4	1738	860	148	793	705	609	546	1279
Tmem177	377	159	35	79	82	108	68	166
Anapc10	1147.827	501.93	111	385.001	656.613	404.796	406.964	980.903
Taf6	3960.964	1463.077	250.032	1866.695	925.092	1319.737	1125.508	2186.247
Zdhhc9	3632	1594	304	1150	850	1556.001	1507	2630
Pml	1111	473	85	418	254	505	411.001	853.001
Trim3	581.001	322.999	50	316.002	242	263.001	220	557.001
Otud4	1140.001	555.001	110	409	468	504	365	1111
Nxt1	1724	580	78	419	590	696	581	1087
Asap3	40	18	2	55	13	10	44	40
Zfp39	197	144.48	16	50.376	42	55.978	93.829	147.058
Zfp113	211.001	49	26	124	82.968	94.008	89	132
Hk1	2922.999	799	188.999	871.999	372.856	1249	1060.001	1928
Ss18	5772.661	2448.781	341.001	2464.595	1689.725	1985.805	1917.669	3955.403
Zscan21	1155	490	68	283	312.999	372	381	906
Wdr62	399.936	137.67	21	159.894	99	144.762	143.764	426.912
Mmaa	484	114	50	168	98	227	160	384.963
Zfp146	344	89	8	96	40	78	63	187
Apbb1	113	89	17	16	21	57	54	44
Smpd1	511	182	30	153	114	184	237	310
Paip2	11837	5481.1	892.002	4424	4968.05	3331.101	3365.957	8116.001
Sh3glb1	6069	2057	367	1730	2111	2678.001	2267	4474
Rbmxl1	2189.141	784.518	115.175	610.116	1050.346	885.647	726.374	1715.364
Selenof	12726.001	3537.001	743	3376	4866.999	6119.001	5450	9638.001
Rnf139	899.565	294	41	237.848	207.095	279.224	201.363	494.548
Trmt12	691	279	59	257	435	245	267	585
Slc35b2	2776.001	1117	217	1470	805	1143.999	832	2144
Lrg1	81	62	6	46	3	6	13	23
Dcaf15	321	142	24	196	73	180	102	280
Socs5	486.006	36	34	125.074	146	85.999	123	238
Zcwpw1	212.965	81.017	17.87	72.638	51.632	77.922	57.185	119.549
Ralgapa2	1121.001	393	104	449	306	480.999	429.001	877
Setd7	466	142	27	217.999	190.89	296.776	231	528.743
Sik2	1094.57	332.367	103.106	316.95	205.352	381.531	407.721	1064.83
Fam91a1	579	425	61	321	287	308	240	489
Psd	100.151	40.504	8.684	68.474	32.535	33.455	37.572	96.454
Prmt9	241	133	28	143.329	132.999	129.001	198	346
Arhgap10	870.153	447.666	82.607	353.994	363.651	622.907	560.376	1187.189
Ddx1	3970	1779	365	1361	2128	1588	1651	3074
Lrrc20	413	149	31	138	106	147	193	395.932
Ndufc1	4308	2362	439.001	1001	1831	1616	1297	3153
Dennd11	404	192	31	186	38	57	175	301
Elf2	3618.919	1443.032	291.957	1545.413	851.18	1440.903	1440.015	2888.602
Krt80	5806.742	2143.891	426.449	1697.14	1099.902	2539.85	2045.221	4006.148
Cyb561d2	1384	607.001	111	334	389.001	636	498	927
Rbm17	4031	2370	347	1837.001	1349.999	1513.999	1525	3219
Atg101	3922	1503	282	1247	1150	1628.999	1374	2839
Fam193a	587	282	66	370	452	342	301	626
Thap1	682	122	31	133	205	289	211	340
Syn1	26	3	9	8	21	39	57	118
Mospd3	1921	939	186	1040	787	786	837.999	1336.999
Hook3	3841.383	1665.834	361	1778.633	1584	1615	1585	3092.449
Mxd4	531.493	276	49	171.07	170.474	221.425	155.747	487
Matr3	5066.242	2223.745	400.107	2055.999	2235	2576.001	2607.967	4905.514
Clic4	18015.982	6476.974	1275.988	6019.993	4364.961	7113.967	6090.975	13711.878
Zfp692	174	85	27	119	81	125	112	187
Pomk	426	82	17	90	171	205	215	341
Mex3c	805	265	56	294	307	323	349	591
Aagab	2569.999	890	208	1193	935.999	997	1010.001	1618
Hgsnat	8144	3720	658	2548	3310	3450	3088	6636
Kin	523.998	260	77	261	273.001	345	257	526.997
Aldh3b3	206.27	54.425	8.18	35.996	46.678	61.388	55.117	127.908
Rsrp1	27866.999	6924	2018	6018	9153	16521.999	13969	24078
4932438A13Rik	1767.001	646.869	126.001	692.002	613.233	643.002	712.999	1552
Gemin5	478	245	48	175	95	324	204	365
Tmem97	999.965	252.992	47	263	281	243	278	597.903
Galnt6	1396.684	603.489	95	565	286.918	785.523	726	1622.706
Stag1	3123.999	1303	201	763.999	1016.999	1359	1109.999	2367.001
Tbcel	208.001	143	31.001	134	71	182	129.001	200.999
Ldlrap1	3621.001	1312	202	1455.001	879	1633	1318	2427
Lsm1	1474	640	117	598	624	674	637	1237
Ttc13	2217	623	172.001	705.001	605.001	1000.001	1011	1421.998
Man1c1	402	272	40	166	136	222	272	399
Tacc3	933	314.082	59	221.001	335.999	308.283	254	511.034
Jade3	326	214	30	143	189	261	217	385
Bag4	1289.179	638.245	107.621	558.25	340.073	365.806	491.146	812.651
Traf3ip3	1481.279	580.741	125.766	595.877	485.154	532.661	554.217	931.933
Tap1	1793.288	495.571	130.999	771.756	592.227	700.303	560	1396.971
Capn15	1682.043	553.821	102	603.934	210.936	627.87	573.392	1374.372
Larp1	593	185	48	139	240	268.991	298	402.002
Map4k1	991.001	389	118	346	433	465	432.001	1109
Fam53a	1136.001	339	63.001	449.999	292.001	425	358	591
Slc9a7	790	343.001	41	300.001	261	368.999	337.999	881.001
Taf2	2453.999	947	155	539	669.999	822	858	2105
Slc12a9	462	147	51	222.999	76	290	249	461
Paqr7	381	113	38	201	116	185	244.001	348
Nudt22	386	204	42	164	168	210	204	454
Actr1b	2802.001	1140	188	1064	514	1121	984.999	1911.001
Letmd1	1762	881.001	140	741	624	640.001	526.999	1526.001
Uvssa	1381	873	126	916	682	393	504	1050
Sf3b6	3418	1353	300.001	1105.001	1581	1530.001	1359.001	2637.999
Letm2	102.497	60.12	3.377	50.243	53.777	49.441	54.619	100.513
Srrt	2772.999	1017	184	1280.998	441.999	1351	968.999	2400.999
Pafah2	52	21	7	90	68	75	51	160
Kdm6a	1992.998	847.001	114.001	572.999	900	811.999	772.001	1837
Enpp1	10	74	4	49	10	43.999	28	124
Ctbp1	2323	1440	219	1327	643	778	615	1501.999
Trmt6	1104.001	574.001	99	490.999	469	474.999	418.999	828.999
Rcor3	1033.442	454.776	88.591	475.64	265.457	367.507	403.79	757.423
Atp11b	6557.001	3155	525.999	2271.001	2180	1862	1794	4412.999
Icam1	3532.266	1052.501	219.338	913.968	609.039	1743.979	1622.244	2489.906
Htra4	141.298	24	0	48	26	51.354	11.167	29.851
Cnnm4	9336	6272	872	5799	4089	2517	2277	6557
Tbc1d2b	576.001	181	46	295	222	293	290	666.965
Ranbp10	474.999	160	36	164	152	196	174	542
Dmxl1	413.999	236.001	26	172	266	167	175	327.003
Best1	777	177	46	226	324.999	289	308	406
Endod1	182	58	17	76	79	117	98	148
Depdc5	1645.999	645	162.001	842.001	394.998	809.999	571.001	1483
Slc30a1	282	155	20.454	133	103.137	100	107	280.866
Cep85	5713.286	2462.202	522.535	2592.453	1782.78	2950.645	2686.393	4957.686
Arid5a	1060	159.001	74	338	147.181	575	549.998	876.001
Azin1	4158.58	1298.071	308.523	1123.414	1279.432	2213.16	2229.365	3798.715
Ints7	2177.999	959.999	173	990.001	809.36	664.999	703	1633.999
Klf10	9258.001	3328	723	2799	3237	3704	3371.999	7224.001
Uggt1	8476.999	2593	487	2370	2352	3182.999	2698.001	6238
Thoc2	3563.001	1660.999	375.999	1392	1788	1639	1631	3069.999
Asxl2	2616	1030	241.001	988.001	903.42	839.068	796.042	1505.889
Ubr5	1107.001	505	90.001	472.001	660	446.001	545.001	1359
Cib2	843	329	78	343	312	378.999	375	612
Nenf	303	71	14	88	72	124	112	210
Fam168b	2116.963	924	143.973	860	754	699	721.987	1491.001
Pank2	1704.106	698.737	130.139	714.997	255.337	504.132	529.653	1179.201
Ppfia1	583	181.001	32.999	245	225	188.999	172.999	433.999
Mavs	1322.001	318.999	109	272	479.001	501	550.001	749
Bcdin3d	1481	667	120	607	562	393	333	981
Atg14	364.606	186	52	185.141	287.346	290.069	235	378.404
Mrpl47	335.938	130.749	23.205	40.612	150.187	152.374	155.47	310.632
Rapgef6	2368.001	672.001	166	772.998	723	767.001	926.001	1737
Fbxo34	842.644	550.5	38.915	280.807	305.608	559.607	366.876	697.337
H2-DMb2	782.603	267.675	42.301	244.241	223.795	246.301	273.533	473.051
Plekhg2	2562	1417.999	222.001	1390	587	727.001	756	1832
Zdhhc18	776.999	345.999	64	205	204.999	293.001	313	606.902
Rps16	4232.577	1674.302	318.091	1028.078	1534.423	2207.45	1902.038	3279.219
Mcrs1	2629.817	837.645	168.542	713.761	819.39	1430.906	1078.1	2084.393
Wdhd1	360	232	28	183.001	234	210	115	321
Tob1	370	208	39	153	232	219	176	476
Gch1	1796	411	147	399	445	894	699	1037
Nme1	7113.109	3204.528	560.914	2430.824	3091.854	2708.186	2801.439	5841.076
Bclaf1	6025.999	2572.886	546.999	2228.968	3236.014	2296.447	2427.001	4760
Tnfrsf23	73.946	27.906	2	22.543	26.34	15	52.043	45.586
Spag1	34.999	4	8	30.009	19.022	19.302	46.014	103.974
Wdtc1	1426	356	97.999	371.999	199	585	441	921
Cdkn3	40	7	3	5	50	8	7	24
Slc25a43	281	137	22	86	93	111	123	239
Zbtb42	478	189	22	163	56	217	215	214
Zfp60	493.44	86.635	27.934	257.235	88.433	128.612	155.769	388.457
Prkci	1618.969	491.923	103	408	451	579	560	1227
Vps13b	1993.573	680.756	168.269	624.344	592.659	809.398	646.203	1376.469
H2-DMa	2064.53	885.302	171.171	697.787	1003.26	935.644	903.444	1448.242
Phc3	1474.999	723.001	148.001	698	417.916	621.001	570.001	1312.637
Slc20a2	783	152	31	89	121.003	157.765	143	360
Gpr160	484.999	275.999	41.999	255	172	178.999	148	628
Cdkn1c	181.001	107	22	98.999	44.649	69	78	120
Ldah	2454.999	829	171	711.999	1068.001	840.001	922.999	1591
Rfx7	530.258	417.223	43.962	217.012	246.785	161.854	175.511	468.937
Inf2	402	219	30	146	116	188	190	422
Atp8a1	1586.001	360.001	133.999	372.999	317.002	724	722	1247.999
Ahdc1	214	93.974	17	182.001	39	95	69	119
Ddhd1	322.718	166.674	39	106	283.128	152.587	131.321	293.331
Cd81	18285	8427.001	1656.001	7713.999	7854.999	6235.001	5600.999	11392
Cisd1	798	338	55	196	284	309	281	583
Tmem33	3310.865	1371.445	220	1172.416	1334.481	1419.773	1247.415	2766.696
Gnpnat1	1024.076	453.154	77.64	397.487	352.735	409.474	443.03	838.544
Ckap2	48	54	5	2	31	14	12	46
Mynn	1262	388	75	367	476	546.001	371	1015
Themis2	8053	2515	516	2227	1599	2858	2628	5689
Mrps26	1202.426	367.99	90.081	412.595	315.94	513.239	445.906	736.16
Eef1a1	33511.189	10360.181	2250.877	8726.147	13874.962	16925.385	14459.304	26247.866
Fam222b	3357	1238.001	302	1329.999	762	1338	1222	2629.999
Xkr8	141	47	15	60	60	49	44	83
Ppp1r16b	151	122.008	18	120	102.01	41	77.999	178
Ptger2	1954.312	802.244	151	651	598.525	900.217	776	1293.063
Actr5	116	116.999	3	103	52	50	37	123.001
Mrpl23	1155.451	541.297	129.819	476.953	727.877	817.976	668.956	1147.015
Pced1a	882.503	272.999	60	208.001	217.084	316.087	314.054	589.16
Coa8	472.009	261.004	36.759	208.009	133.02	234.033	217.021	303.036
Vopp1	1162.999	434	82	363	262	464	488.999	1038
Phf12	1180.226	565.247	99	840.649	246.547	308	289	670.11
N4bp2	755.749	162	61	151.915	149.999	238	180.999	657.819
Rpl10a	2761.552	945.359	199.579	898.514	1053.634	1394.117	1209.57	2327.1
Fam76b	1114	368.001	91	390	370	322.999	357.001	635.999
Ctnna1	11866.001	5897.999	1122.001	4501	5476.999	3990.001	3956	9805.906
Fbxw17	390	138	14	131	76	173	140	321.999
Abhd18	167.165	100.118	15	81.099	123.638	84.843	53.735	160.522
Tgm2	3163.95	982.889	271.032	965.686	632.581	1699.603	1561.472	2517
Smim14	8584.68	3216.879	606.856	2938.95	3112.962	3318.096	3300.874	6047.807
Tspan14	2362	797	138	680	276	1220	1093	1958
Ppm1k	294	140	38	133	207	151	93	186
Fdxacb1	854.143	348.791	58.202	239.41	190.872	260.701	220.528	735.511
Nmrk1	406.001	130	22.913	79	171.001	211.573	119.26	266.18
Iars	1953.997	600	125	636	625.994	689	685	1199.968
Nufip2	371	182	53	170	156	193	151	446
Aim2	427	68	19	126.999	116.776	179	146	295.531
Egr2	4701	1975.001	348.999	1521	847	1499.999	1616	2908.891
Jmjd1c	3406.999	1384	261.999	1374.998	1180	1162	1056	2381
Stk35	709	270	40	311	102.223	222	239	579.469
Wdr19	186.999	25	5	8	38.005	11	60	18
H2az1	35701.797	12559.032	2455.071	9462.086	14096.939	15614.184	13427.254	23417.374
Rcor1	601	200	37	184	407	185	222	484
Sirpa	41736.002	13033.999	2849.999	12459.657	9556.001	17998	15411.001	30391
Bri3bp	1825	695	139	717.955	532	833	656.003	973
Tmem156	732	399.999	62.001	277	366	201.001	240.001	353.001
Ndufv1	4135.999	1641.999	361	1284	1620.002	1766	1446.001	3056
Ddx60	200	75	23.999	2	52	80	45.001	86
Ssh2	10651.998	3095.999	645.001	5032.999	2118	3635.001	3397.999	6065.685
Bicd2	4515.001	1940	281	2023	968	1765	1591.999	3474
Smarce1	6839.807	3307.911	578	3071.128	2874.83	2185.148	2275.094	4802.513
Scarb1	5647.001	1955	418	2218.999	771.001	2165.999	1667	3938
Chchd5	530	192	21	208	204	201	146	299
Inpp4b	97.999	20.999	20	70	20.001	26.999	65	32
Ccr7	5973	1787	450	1406	1510	2072	1873	4475
Fgd3	2247	1030	197	1372.002	512	1133	968.999	1840.464
Ano10	401	81	30	106	64	136	139	199
Wdr20	1723.995	692.988	121.999	533.999	710.942	655	764	1349.957
Nsrp1	1903.006	857.001	169	649	869.007	736.002	777.001	1595.004
Card19	34463	16432.001	3067	13549	12786	14054	12571.999	26842
Zc3h7a	5722.999	2189	517	2223.999	1573.999	2079	2137.001	4089.999
Ninj1	38823.999	14385	2950	13295	10959	19152	15998.001	30641
1110032A03Rik	126.989	106.426	29.041	135.452	93.071	125.594	99.161	148.538
Snn	86	27.124	8	20	14.035	29	19	106.311
Rara	2245	583.02	133.001	916	389	1120.001	790	1881
Dhx38	3353	1396	214	1180	809	1253	1294	2113
Parp11	596	284	40	275.001	229	314.999	340	644.002
Arap2	85.576	32	9.65	17	44	27	8.574	109
Acd	2150.177	793.584	193.001	902.999	744.469	817.892	826.85	1497.276
Cramp1l	3533	1819	337	2189	1419	966	986	2425
Hpf1	1973	802	177.999	788	816	816.999	791	1577.999
Ccdc138	77	55	4	21	10	35	37.556	27
Wipf2	1233	514	119	636	324	542	447	1077
Fam120a	6706	3429	560	3532	3710	1989	1855	4706
Atp6v0a2	4650.447	1809.999	452	1837.934	1464.585	1809.69	1700.636	4296.493
Dennd4c	2085	1010.768	186	887.372	728.785	982	915.915	1981.804
Phf2	387	198	51	380	111	370	259	696
Tigar	18	66	11	31	21	39	66	58
Igsf8	2702	1032	160	907	356	1334	1046	2183
Socs1	179	72	21	150	56	129	112	254
Gcc2	1209.999	478	93.001	538.001	641.001	405.999	503.001	903
Mrm3	727	318	61	229	249	313	277	427
Haus6	354	143	23	72	216.866	208.001	218	395
Dexi	33	4.815	2	8	54	25.001	9	29
Kmt2c	2296.76	967.93	239.485	1120.821	910.282	914.74	1150.506	2063.631
Nod1	1328	311	59	534	211	689	527	808
Smim3	4602	1822	427	1471	1453	2019	1951	3975
Mturn	1008	475.001	81.001	350	279	460.759	394	1150.001
Rnf144b	1220	528	116	337	567	473	513	1165
Cdkn2aip	1153.611	347.484	87.857	241.738	362.836	460.992	365.499	1030.536
Cntln	237	150	14	80	59	71	96	199
Galnt11	1498	534.869	103.545	575	511	521.914	594.821	1145
Tmem237	1124.001	486	61	369	393	314.956	314.811	607
Kdm1b	618.766	263.156	84.393	471.316	406.642	402.692	376.42	705.787
Opa1	1335.999	450	130.001	645	572	834	912	1371.999
Cnbd2	866.82	489.639	104.346	374.222	249.352	483.411	433.409	835.937
Sbno1	15764.848	7278.689	1302.935	7735.733	5001.834	4839.006	4967.077	10360.748
Trappc11	1433.999	698	83	343	500	585	544	1086
Phf20	2046.729	1049.883	206.974	841.938	846.556	825.86	785.855	1657.894
Fam210a	701.808	293.983	37.988	290.295	266.097	332.051	287.029	516.041
Tbc1d32	106	33	9	59	19	60	43.001	104.999
Mphosph9	583	255	55	206	240.001	219.001	233	313.001
Ccdc50	13528.983	4689.994	1072	4469.988	4425.953	5167.932	4688.987	10839.858
Tmem181a	991.025	445.864	94.756	493.802	327.907	501.167	388.926	1012.544
Snrk	1514	609.986	93.001	609.001	371.001	596	480	1312.999
Cd84	10542.001	4248.998	821	3312	4559.993	4862.999	4713	9475.998
Ormdl3	855.974	262.986	52	267	163	390.925	349.99	649
Prdm1	304.001	121	30.999	95.999	165	175	145	342
Atg5	2882	1163	228	949	1466	975	1042	2135
Pde4dip	1823	598.001	127	806	481	787	654	1581.999
Ttc39b	673.999	247.001	61	225.999	130	241.999	347	712.963
Fam126b	723	330	56	321.001	368	346	275.797	545
Mylip	3819	1592	300	1479	1612	1359	1564	2789
Slc43a2	8455.199	3493.36	732.528	3311.151	2710.042	3640.715	3650.073	7563.771
Slamf7	3776.968	1410.989	318.975	1395.484	1822.277	2518.243	2213.124	4031.084
Chpf2	4577.736	1727.016	298.645	1674.494	431.712	2216.134	1837.914	4182.286
Btbd10	355	282.001	43	292	218.929	294	257	469.001
Scarf1	140	7	1	40	1	28	23	66
Prkab2	225	150	36	241	128	91	145.001	312
Fbxo8	443	277.999	40	90	140.999	132.999	128	455.001
Pgap3	103	98	18	55	42	120	74	261.999
Mfsd14b	10550	4306	836.001	3688	3718	3858	3563.001	7727
Tapbpl	1889	792.999	146	653.996	569.868	716	646	1275.992
Cep44	240	162	28	74	67	129.001	94	192.999
Tlcd2	165.57	91.431	16.919	79.271	52.693	35.204	51.816	149.796
Primpol	811.541	177.147	40.997	187.012	148.225	256.008	286.596	505.326
F11r	1583	567	103	529	703	845	690	1264.999
Pdss2	252	57	17	35	94.802	74	69	97.001
Cep250	1560.193	829.505	98.001	512.724	445.957	561.849	496.701	1008.174
Usp38	1099.197	185.63	71	119	229.184	482.663	284.852	712.195
Ncapd2	107	107	15	51	9	66	95	218.999
Bcl9	305	107	12	86	64	96	43	164
Trpm4	886	332	53.001	450.001	155.007	440	396.001	927
Ovca2	702.15	393.947	73.378	456.232	358.864	377.751	337.949	907.219
Iffo1	956.011	482.001	84.006	369	128.004	390.999	384	847.703
Fau	6074.663	2551.282	508.197	1405.397	2659.096	3165.698	2686.65	4935.79
Nop2	1453	665	138	459	450	691	658	1069
Ostm1	4284	1621	298	1406	1391	1744	1722.995	3391.58
Bphl	304	55	17	22	130	87	84.999	193
Smg6	1272.333	472.618	127.827	583.163	276.439	678.643	482	1211.055
Snx25	78.001	135	8	122	69	24	46.001	116
Wdr36	1674	434	99.001	403.999	512	665.001	555	1182
Snx10	7005	3032.001	536	2827	2804	2908	2875.001	5996
Afg1l	195	104	25	69	48	48	51	71
Edem2	4690	1514	367	1514	1221	1727	1638	3409
1700066M21Rik	342	36	17	46	156	107	124	157
Trpc4ap	8582.061	2510.205	535.314	2431.108	1596.239	3808.264	3118.136	5894.203
Sesn1	1110	307	104	375	310	399	317	1057
Tsr1	1113.19	552.534	130.648	597.041	526.626	583.174	599.807	1293.384
Mlxip	1476.495	594.652	137	470.544	399.001	755.736	591.509	1464.063
Txlng	1405.923	738.934	142.548	623.057	568.236	399.042	424.068	916.464
Zfp384	284.999	167.975	17.93	173.699	112	108.888	115.718	215.94
Sgsm2	129	44	5	53	42	40	40	91
Arl5c	2833	770	205	1021	753	1289	1138	1875
Camp	492	138	19	110	12	58	156	4
Fbxo25	550	142	23	54	191	155	154	293
Lasp1	4957.987	1516.002	343	1522	1179.998	2567.997	2214.98	4463.979
Focad	75.787	41.309	6.967	73.395	34.799	26.299	10.69	33.053
Ncoa6	524	225	50	205	218	211	216	626
Sbf2	201	83	19	125.999	172.899	137.001	59.999	163.575
Rbm8a	4843.803	1650.354	425.7	1293.652	1756.338	1820.407	1621.34	3653.971
Trp53inp2	3716.001	1218.999	197	1267	464.001	1288	1216.001	2616.999
Pigu	764	226	62	223	241	379.001	495.999	875
Setd1b	2400.541	1084.706	298.24	1329.439	1464.019	998.947	1036.864	1941.911
Rras	119	91	18	68	53	92	65	131
Mpp6	1484.001	740	143.001	712.999	676.679	646.001	452	1235.999
Txnip	1060.442	549.009	90	474.482	365.348	652.38	427.671	1052.527
Upf3a	1412	520	111	373	528.999	573	505.001	937
Scaf1	2403.999	695.001	139.001	1447.999	263	1091	831	1840
Higd1a	3254.899	1681.985	296.744	1022.317	1697.144	1440.233	1280.824	2565.262
Cdc16	2310	870	165	787	845.001	825.999	856	1481
Fig4	1169	424	67	403	361	539	511	1106
Egr1	2975	783	116	802	354	1032	956	2088
Fcrla	185	89	16	59	84	103	111	118
Hdhd3	159	67	5	64	33.716	61	61	105
Poli	166	124	10	143	49	47	81	198.152
Usp5	7452.999	3433.001	613	3158.001	2317.001	2983	2884	5499.999
Mllt6	3293	1349	311	1641	1258	1350	1490	2752
Cdc40	4398.913	1941.863	396.853	1679.999	2063.758	1935	1818.992	3610.87
Spsb2	2013	904	151	680.001	484.001	1158	1054.033	1874
Dennd2a	165	95	13	78	38	101	54	127.999
Abhd17c	167	22	5	47	45	73	48	88
Uqcrfs1	5338	1804	363	1506	1647	2214	1905	3414
Olfml2b	988	232	98	231	118	240	252	537
Chmp4b	1229	575	107	627	240	407	337	857
Cdk19	1731.98	664.979	76	760.965	299	755.999	570	1294.287
Tfdp1	968.826	243.969	75	367	329.814	431.811	376.946	816.708
Socs7	328	117	24	92	128	75	81.196	261
Polr2l	1715.693	676.936	141.407	188.455	675.649	1053.884	627.973	1539.845
Otud7b	153	55	5	34	30	64.063	31.999	58
Tmco3	1448.001	506.001	109.999	592.999	744.001	536	540.001	1444.991
Prr3	324.313	90.001	16.999	120.02	109.001	133.165	138.06	335.015
Ptov1	278.102	188.001	24	153.144	100	153.001	98.001	187.999
Mesd	1784.937	643.765	151	611.527	594.828	693.652	602.72	1232.67
Dcun1d2	735	269.999	66.001	195.001	256	266	297	654.999
Parp12	1120	382	79	340	297	376	496	661
Gdf15	500	257	36	193	312	179	167	352
Rpf2	1573.997	541.999	123	576	815	724	664	1324.989
Grtp1	282.7	48.815	11.211	66.081	73.512	120.521	87.546	139.746
Tbkbp1	473.999	248	35	142	49	250.999	157	506.001
Jarid2	8998.998	3832.001	711	3668	3858	3832	3601	7477
Tbc1d17	4825.41	2037.821	373.03	1888.847	948.639	1958.794	1875.699	3685.652
Fchsd1	509.042	254.413	19.614	133.123	64.348	169.856	176.25	388.793
Armc10	801.001	314	41.999	262	383	336	293	745
C1rl	266	110	9	103	66	106	104	167
Cbfa2t2	3026.769	1578.001	253.999	1295.999	1095	825.339	827.001	2087.831
Osbpl7	342	102.999	11	144	22	212.997	196.008	237.338
Zfp280d	792	306.999	53.569	198.001	194.001	231.903	311	399
Ubn2	1690.411	692.595	125.308	745.716	765.648	523.161	559.247	913.09
Atf5	209.017	105.048	11	87.049	18.031	110.041	93	237.083
Pcid2	1026	326.416	62.679	309.001	347.328	588	452.99	960.989
BC028528	4137.765	1787.527	387.135	1641.658	1370.735	1399.531	1163.717	2692.307
Inip	3403	1478	263	1216	1559	1381	1291	2562
Cul7	21.001	53.001	6	29	4	47.001	25.001	72
Ranbp9	663	275.835	64	198.614	387.222	216.023	248.249	575.329
Ciart	87	17	13	64.987	75.001	71.999	41	122.986
Efl1	429.163	123.332	54	140.624	266	341.153	257.191	352.583
Ift172	194	42.999	7	85.999	46	83	104	92.999
Rad9b	69.452	42.119	4.914	52.484	50.278	23.377	52.476	79.755
Pptc7	404.548	163.88	26.086	161.516	208.722	185.623	102.525	264.246
Tctn1	599.354	220.758	46.099	253.179	80.24	169.214	262.671	465.871
Cep85l	226.494	125	19	147.642	143.174	164.982	96	254.817
Ripor1	1217	481	87	463	346	400	561	868
Samd10	325	70	27	98	97	154	126	327
Gng10	3886	1364.941	239	946.453	1224.346	1592.969	1349.852	2495.176
Dock10	3289.998	1366.001	293.001	1172	1418	1661	1426.001	2829.999
Phrf1	2928	1035.001	253	1246.999	548	1329	1257.002	2536.997
Mcl1	6139	2459	510	2242	3547.996	2447	2478	4799
Nfe2l1	5012.999	1734.001	348	1950	604.001	2035	1579.999	3322
Rassf7	270.001	35	32	107	121	129.001	96	235.999
Ensa	2683	913	249	885	790	1071	1116	1950
Med30	607	240	38	267	218	273	283	472
Tm6sf1	1819.027	979.074	226.376	831.849	895.434	683.238	645.318	1418.573
Polr3k	3514	1580	367	1147	2005	1209	1254	2220
Degs1	15529	6449	1183	4679	5509	6039.001	6071	12489.998
Lrrc56	174.001	46.999	20	56	10	51	46	136.001
Ctss	67633	21550	4893	16634	28540	31929	30754	58720
Pold1	1386.999	586.001	87	505	208	435	529	785.999
Ramac	4187.29	1896.744	354.889	1355.797	1698.179	1482.363	1510.381	3169.939
Creb3l2	320	71	21	84	150	213	155	379
Rnh1	13375	5745	1005	4657	4746.998	5903	5252	11803.999
Ric1	1957.001	1234	211	1183	1128	663	602	1658
Herc1	3650.164	1117.209	282.986	1540.167	1062.942	1107.604	1167.546	2234.542
Lpar1	1012.999	417	53	403	393	508	411.001	798
Arfrp1	2633.67	1067.129	249.636	1091.652	908.197	1018.818	895.577	2083.76
