KO.PLT_PBMC_Vehicle_REP1	KO.PLT_PBMC_Vehicle_REP2	KO.PLT_PBMC_Vehicle_REP3	KO.PLT_PBMC_Vehicle_REP4	WT.PLT_PBMC_Vehicle_REP1	WT.PLT_PBMC_Vehicle_REP2	WT.PLT_PBMC_Vehicle_REP3	WT.PLT_PBMC_Vehicle_REP4
Npepps	5494	1958.999	388.999	1819.002	1524.029	2539	2001	4698.364
Mrpl10	1507	580.744	111	373	453.445	786.537	709.527	1252.558
Cyp51	2176.343	622.907	129	488.92	586.665	679.989	556	1264.85
Tcf25	5051	1726.999	375.999	1574.001	1260	2613.999	2182.001	4322.001
Tubb6	5856	3046	477	2545	1780	1892.991	1910	4428
Def8	1051	618.04	73	519.999	105	446	373.999	739
Itfg2	298.773	141.473	29	196	110.218	231.66	159	300.001
Nrip2	85	53.687	14	72	22	40	54	61
Gtf2h4	263.999	100	32	66	155	142	137	195
Tubb5	10711.001	6735	911.999	5600.999	6110.803	3204	3237	7404
Ell2	3333.001	1387	292.001	1071	1488.999	1657	1667.001	3503.001
Jup	246.001	188	13	143	116	120.001	96	240.169
Nom1	1483	741.722	144	542	492	596.166	578	1385
Ergic1	2719	1157	158	1263	1040	1176.001	1162.002	2179
Acap1	113	34	2	31.999	23	66	37	100
Ifrd1	2793.924	748.908	149.28	789.033	701	1201.228	1122.818	1768.66
Stk38l	3505.102	2400.037	323	1753.889	1622.99	1043.914	1002.859	2666.225
Brpf1	2841.041	1053.987	233.002	1312.904	412.05	1024.001	1023	2157.251
Akr1b3	3601.503	1118.669	174.416	876.279	1280.135	1350.515	1193.603	2098.782
Gstt3	250	117	8	75	69	71	77	148.001
Ddt	364	113	34	78	104	175	157	171
Ddx18	1802.095	541.186	91	486.409	515.127	818.912	781.862	1448.498
Ubl3	7941	3901	640.999	2600.999	3569.001	2911.999	2589.999	5968
Gramd3	144	82	27	133	94	164	157	205.001
Eef1e1	2126	667	120	450	698	736.999	689	1247
Akt1	2546.999	939.012	199	1079	752.999	953.001	809	2042.999
Cldn15	83	23	10	61	17	35	33	60
Il16	1736.363	646.385	163.926	671.29	323.062	600.504	757.565	1204.101
Tcirg1	13424	4803	1099.999	5318.001	3129.998	6482	5866.984	13051.921
Naglu	1129	437	110	474	277	603	567	1000
Coasy	823	250	71	126.999	118	328.999	224.999	483
Crnkl1	1954	608	159	494	726.983	906.993	881.997	1702.994
Rin2	7208	3049	557.999	2185	2909.999	2845	2861.999	5798
Chordc1	3508.001	1070.999	228	735.999	1212	1130	1351	2402
Rtcb	5975	2686	467	2634	2376	2503	2362	5248
Pwp1	1447	357	77	279	447	581	507	932
Fbxo7	959.25	465.903	49.661	394.384	360.654	448.509	373.925	834.366
Capns1	17105.934	7459.001	1337.001	8634.999	3698.001	5744	4946.72	11489.782
Clpb	1461	439.001	79	398.999	269.996	538	412	850
Septin7	9834	3158	770.001	2073	4929	4470.001	4559.966	8857.001
Zdhhc4	1307	522.999	89.001	452	342.001	586	530	971
Rac1	3459.032	1957.919	285.728	925.684	2060.418	1515.863	1213.246	3085.089
Nup214	2708.954	930.617	184.802	903.909	488.925	1103.262	897.594	1909.52
Ugp2	8972	4033	639.999	3483.999	3244.999	3384	3074	7249
Trmt1	979.001	408.999	118.001	403.998	323.001	502.999	406.8	947.95
Nacc1	554	376.919	65	200	175.944	272.74	190.956	504.897
Nfix	1160.344	685.291	90.389	727.311	316.879	337.819	342.534	882.099
Slc1a5	9271	3097	578	3162	1560	2915.999	3198.001	6363.998
Uba1	8217	2746	531	2402	1559.001	3706.999	3169	6780.999
Vwf	48.021	9	16	41	28.001	35.001	74	148
Siae	680.904	204.558	52.566	121.276	350.299	218.775	172.827	548.016
Esam	1060	346	60	321	232	451	397	634
Fam50a	3086.987	1062.999	241	1109.001	1000	1352	1240	2717
Emd	4112.165	1405.494	306.215	1235.634	1044.067	2069.605	1650.941	3036.884
Taco1	240.044	99.654	17	47.918	72.598	103.002	49.851	201.323
Gria3	138	2	3	35.001	11	16	9	41
Sipa1l2	835	369	76	367.001	281	277	314	634
Ap4e1	1048	548	91	451.35	635.001	521.685	557.389	1068.465
Blvra	8326	4302	768.999	3489	3698	3214	3178.001	6589
Idh3g	2419.999	674	141.001	458.999	749.001	937	768.999	1403
Ssr4	4121	1695.001	307	1340	1639	1925	1536.001	3287
Bcap31	11633	4070	888	3701	4851	4452	4676	9052
Fam98a	1089	449	63	471	212	517	376	800.978
Kmt2a	1226.994	563	103	687	548	536	468	1214.11
Ift46	1297	545.999	109.999	498.001	551.001	520	440.001	1061.596
Trappc6a	2110	897	210.001	977.001	797.284	883	760	1678.999
Supt6	3053.872	1266.187	240.699	1318.34	480.548	1284.604	1199.967	2433.864
Unc119	553	354	49	413.999	101	94	84.999	291
Sdf2	1556.127	466.813	93.301	359.659	638.451	718.396	599.032	1239.137
Bbc3	1007	482	85	369	282	520	489	835
Psmc3	8417	3001	676	2164.001	3501	3766.04	3237	6591.527
Acp2	6469.705	2198.641	509.947	2222.044	1906.501	3593.557	3316.114	6092.92
Slc39a13	1454.001	843	104.999	793	344.001	712.958	541	1057.473
Celf2	7831	2425.999	616	2051	3332.999	3064.999	2943.999	5612.002
Nr1h3	1007	441.001	94.999	327	354	661	492	1015.001
Ddb2	234.296	117.359	28.053	166.956	154.499	145.443	127.877	357.08
Spi1	28746	10483	2154	8961	7811	12350	10955	19986.999
Sf3a1	2232	745	101	645	464	862.001	786.001	1812
Stat6	20402.999	6906	1333	7083.999	3821.001	7943	6721	15782
Napsa	5049.967	1512.878	327.961	1392.428	1407	2184.618	1889.483	3070.471
Vrk3	2288	861	184.999	534.001	926	845	944	1655
Smg9	1806.999	707	128.999	779.999	582	1002.001	770.999	1645
Paxip1	1098.308	423.001	65	361	235.363	332.999	286.431	547.866
Rmnd5a	793	297	58	215	236	164	199	553.999
Mov10	127	42	16	56	19	79	53	118
Rhoc	380	48	18	102	82	105	125	208
Ppard	842	336	56	403.999	92.999	247	231.001	633.001
Def6	1438.698	623.72	90.8	491.256	254.891	625.62	515.917	1114.814
Metrn	163.999	59	13	99.238	33	72.999	49	127.001
Lmf1	385.001	186.999	44	110	198.999	205	241	439.999
Ciao3	3097.364	1367.951	264.005	1170.1	880.215	883.663	1004.238	2434.444
Angptl4	124.999	28	5	1	11	35	22	40
Dbf4	251	71	22	155	183	108	128.999	192
Daxx	2901.999	1652.999	282	2018.001	963.999	1467	1187	2942
Cd320	358.001	109	29	92	101.001	129.001	122	299.001
Ipo4	755	286.001	49	349.14	237	463.253	346	1048.842
Tm9sf1	3145.949	1046.827	270	974.349	869.815	1442.916	1270.964	2295.615
Irf9	1239.169	556	96	432.093	591.096	700.263	525.148	1172.227
Mdp1	700	324	62	313	368	364	299.997	674
Dhrs1	1751	595	104	619	530	829	699	1294.999
Tmem161a	1657	752.001	131	677	341	580	599.999	1251.001
Armc6	160.65	87.63	16.007	114.484	74.802	145.33	131.918	212.587
Borcs8	750.972	285.946	62	245.993	193.996	435.878	363.992	668.811
Slc25a42	228	76	2	108	11	38	67	123.75
Snx9	2099	1291	212	1038	1025	891	932	1997
Ranbp3	3867	1635	287.001	1270	1034.999	1780	1517	2730.001
Ndufa11	2300	782	149	523.998	783.995	1291.998	876	1446.994
Nr2f6	327.243	80.326	18.087	130.331	38.236	55.982	113.222	169.514
Use1	1750	595	161.999	561	667.999	843	731	1375.999
Ocel1	1077.756	414.674	81.914	271.669	277.764	403.018	386.778	585.486
Braf	7446.954	4661.903	729.986	4147.984	3770.761	2057.996	2056.926	4914.755
Ndufb2	1791.713	1038.046	196.954	513.016	885.249	903.004	771.169	1633.171
Hltf	1827	1089.145	168.999	793.001	1054.302	836.999	719.001	1620.27
Prpf6	1969	737.999	110	598	586	808	711	1337
Rgs19	7263	2785	571.999	2614.001	2275	3107	2361.999	5245.002
Snrpd1	1194.997	320	111.001	258	497.97	685.991	630.96	911
Tchp	185	86	9	82	96	56.999	102	65
Tiam1	714	156.999	30.001	237	136	426	281	671.999
Tsc2	1777.151	477.776	144.95	815.645	320.496	821.487	594.094	1502.648
Slc9a3r2	137	11	1	42	19	21	24	61
Puf60	13579.001	5681.001	1064.999	5233.999	4083	5273	4616.001	9539.999
